X, T_numerical, T_analytical
0.000000,273.000000,273.000000
0.010101,375.088906,372.859791
0.020202,375.068213,373.000000
0.030303,375.047519,373.000000
0.040404,375.026826,373.000000
0.050505,375.006132,373.000000
0.060606,374.985439,373.000000
0.070707,374.964745,373.000000
0.080808,374.944052,373.000000
0.090909,374.923358,373.000000
0.101010,374.902665,373.000000
0.111111,374.881971,373.000000
0.121212,374.861278,373.000000
0.131313,374.840584,373.000000
0.141414,374.819891,373.000000
0.151515,374.799197,373.000000
0.161616,374.778504,373.000000
0.171717,374.757810,373.000000
0.181818,374.737117,373.000000
0.191919,374.716423,373.000000
0.202020,374.695730,373.000000
0.212121,374.675036,373.000000
0.222222,374.654343,373.000000
0.232323,374.633649,373.000000
0.242424,374.612956,373.000000
0.252525,374.592262,373.000000
0.262626,374.571569,373.000000
0.272727,374.550875,373.000000
0.282828,374.530182,373.000000
0.292929,374.509488,373.000000
0.303030,374.488795,373.000000
0.313131,374.468101,373.000000
0.323232,374.447408,373.000000
0.333333,374.426714,373.000000
0.343434,374.406021,373.000000
0.353535,374.385327,373.000000
0.363636,374.364634,373.000000
0.373737,374.343940,373.000000
0.383838,374.323246,373.000000
0.393939,374.302553,373.000000
0.404040,374.281859,373.000000
0.414141,374.261166,373.000000
0.424242,374.240472,373.000000
0.434343,374.219779,373.000000
0.444444,374.199085,373.000000
0.454545,374.178392,373.000000
0.464646,374.157698,373.000000
0.474747,374.137005,373.000000
0.484848,374.116311,373.000000
0.494949,374.095618,373.000000
0.505051,374.074924,373.000000
0.515152,374.054231,373.000000
0.525253,374.033537,373.000000
0.535354,374.012844,373.000000
0.545455,373.992150,373.000000
0.555556,373.971457,373.000000
0.565657,373.950763,373.000000
0.575758,373.930070,373.000000
0.585859,373.909376,373.000000
0.595960,373.888683,373.000000
0.606061,373.867989,373.000000
0.616162,373.847296,373.000000
0.626263,373.826602,373.000000
0.636364,373.805909,373.000000
0.646465,373.785215,373.000000
0.656566,373.764522,373.000000
0.666667,373.743828,373.000000
0.676768,373.723135,373.000000
0.686869,373.702441,373.000000
0.696970,373.681748,373.000000
0.707071,373.661054,373.000000
0.717172,373.640361,373.000000
0.727273,373.619667,373.000000
0.737374,373.598974,373.000000
0.747475,373.578280,373.000000
0.757576,373.557586,373.000000
0.767677,373.536893,373.000000
0.777778,373.516199,373.000000
0.787879,373.495506,373.000000
0.797980,373.474812,373.000000
0.808081,373.454119,373.000000
0.818182,373.433425,373.000000
0.828283,373.412732,373.000000
0.838384,373.392038,373.000000
0.848485,373.371345,373.000000
0.858586,373.350651,373.000000
0.868687,373.329958,373.000000
0.878788,373.309264,373.000000
0.888889,373.288571,373.000000
0.898990,373.267877,373.000000
0.909091,373.247184,373.000000
0.919192,373.226490,373.000000
0.929293,373.205797,373.000000
0.939394,373.185103,373.000000
0.949495,373.164410,373.000000
0.959596,373.143716,373.000000
0.969697,373.123023,373.000000
0.979798,373.102329,373.000000
0.989899,373.081636,373.000000
1.000000,373.060942,373.000000
