power,coefficient
t^0,-0.9999999999999503
t^1,4556.0
t^2,-5187006.000000002
t^3,2622319699.9999857
t^4,-744738794799.9976
t^5,135125406928511.5
t^6,-1.6988266437734584e+16
t^7,1.5650007081619187e+18
t^8,-1.1003911229263487e+20
t^9,6.091547895310804e+21
t^10,-2.7204852900458023e+23
t^11,9.99609718970548e+24
t^12,-3.0710231921706292e+26
t^13,7.995563340562583e+27
t^14,-1.7843160230418756e+29
t^15,3.446505527173331e+30
t^16,-5.810592912218785e+31
t^17,8.61334949340667e+32
t^18,-1.1298375107092074e+34
t^19,1.3188740360467038e+35
t^20,-1.3769044936327594e+36
t^21,1.2913553255476402e+37
t^22,-1.0923158476843054e+38
t^23,8.362720573008387e+38
t^24,-5.813252287209301e+39
t^25,3.6795561677119976e+40
t^26,-2.1260867442430566e+41
t^27,1.1239970250086063e+42
t^28,-5.44794476407233e+42
t^29,2.4253395002005716e+43
t^30,-9.933112664154786e+43
t^31,3.747915350699817e+44
t^32,-1.3044502255756005e+45
t^33,4.192447924255834e+45
t^34,-1.2454036480877623e+46
t^35,3.4220642281333937e+46
t^36,-8.703027543154062e+46
t^37,2.0495661650203566e+47
t^38,-4.471006523416982e+47
t^39,9.036077615373965e+47
t^40,-1.692005533478775e+48
t^41,2.935091097932247e+48
t^42,-4.715446809263032e+48
t^43,7.013238899661081e+48
t^44,-9.650448568541902e+48
t^45,1.2276323709908117e+49
t^46,-1.442293985956124e+49
t^47,1.5630836588406346e+49
t^48,-1.5603699719329247e+49
t^49,1.4323429479967374e+49
t^50,-1.206605699392452e+49
t^51,9.305847877667277e+48
t^52,-6.552638446404769e+48
t^53,4.198913920800493e+48
t^54,-2.439286756459546e+48
t^55,1.2789119985933353e+48
t^56,-6.01936897297118e+47
t^57,2.5270604121676483e+47
t^58,-9.390087738435076e+46
t^59,3.0589943968357866e+46
t^60,-8.633161964403218e+45
t^61,2.0788264230328635e+45
t^62,-4.185774327334642e+44
t^63,6.855009606368148e+43
t^64,-8.769592367521752e+42
t^65,8.219546929085479e+41
t^66,-5.019282560001692e+40
t^67,1.498293301493043e+39
