power,coefficient
t^0,-1.0000000000000013
t^1,650.0000000000011
t^2,-105299.99999999997
t^3,7534799.999999996
t^4,-300450149.9999999
t^5,7571343779.999996
t^6,-130395365099.99998
t^7,1617966979200.0
t^8,-15016756025700.0
t^9,107156604726600.0
t^10,-600076986468960.0
t^11,2678029526390399.0
t^12,-9633467324098796.0
t^13,2.8159366024288784e+16
t^14,-6.7237669894730376e+16
t^15,1.3148699890525051e+17
t^16,-2.1058464668419027e+17
t^17,2.7543597386375062e+17
t^18,-2.924381944726241e+17
t^19,2.495040551179176e+17
t^20,-1.684152372045944e+17
t^21,8.783561124049141e+16
t^22,-3.41179646967198e+16
t^23,9287309860732798.0
t^24,-1580132580471900.2
t^25,126410606437752.05
